entity,age-months
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GetCommitCountFromBranchCallbackIT.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/AccumulatedCommitMessageIT.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/MatrixProjectCompatibilityTestIT.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/TestUtilsFactory.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GitSubmoduleInteractionIT.java,0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationJobDslExtension.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GHI97_SupportChecksIT.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/JobDSLIT.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/CommitMessagesWithSpecialCharsIT.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/PipAsGitExtensionIT.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GHI98_SupportForCredentialsIT.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/BuildResultValidator.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/TwoBranchHeadsIT.java,0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationPostCheckout.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/EnvVarsIT.java,0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/PretestedIntegrationAsGitPluginExt.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GeneralBehaviourIT.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/SquashCommitStrategyIT.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/JENKINS_24754_IT.java,0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/UnsupportedConfigurationException.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/CustomIntegrationBranchIT.java,0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/AccumulatedCommitStrategyIT.java,0
